ID,Plz,Ort,Bundesland,Energieträger,Technologie,Engpassleistung (kW <sub>el</sub>),Eingespeister Strom (kWh) 2026,Eingespeister Strom (kWh) 2025,Eingespeister Strom (kWh) 2024,Eingespeister Strom (kWh) 2023,Eingespeister Strom (kWh) 2022,Eingespeister Strom (kWh) 2021
509,6971,Hard,V,,Klärgas,320,45518,247503,84186,40057,4,3
516,6900,Möggers,V,,Biogas,90,245213,763845,698880,814580,704009,693713
536,6714,Nüziders,V,,Biogas,40,24642,83308,83973,87760,84697,103417
538,6713,Ludesch,V,,Biogas,99,0,0,135,0,0,0
540,6841,Mäder,V,,Biogas,37,0,0,0,0,0,0
543,6850,Dornbirn,V,,Biogas,45,76415,216211,171466,61677,140609,203496
9,1110,Wien,W,,Deponiegas,15150,3173652,7883920,9565851,3218950,0,0
134,1020,Wien,W,,Biogas,400,0,0,0,0,0,0
160,1110,Wien,W,,Deponiegas,15150,0,0,0,0,0,0
267,1110,Wien,W,,Deponiegas,16400,20233435,70470500,66401045,17890260,0,0
418,1220,Wien,W,,Deponiegas,920,336024,2432469,2245233,2513127,2225322,1524747
